"노드링크 유형","노드 WKT","노드 ID","노드 유형 코드","링크 WKT","링크 ID","링크 유형 코드","시작노드 ID","종료노드 ID","링크 길이","시군구코드","시군구명","읍면동코드","읍면동명","고가도로","지하철네트워크","교량","터널","육교","횡단보도","공원,녹지","건물내"
"NODE","POINT(127.01360073600758 37.56438808903348)","8646","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(126.99000180972224 37.56429084947153)","9719","0","","0","","","","","1114000000","중구","1114016100","저동2가","","","","","0","0","",""
"NODE","POINT(126.9894743011003 37.56391546417061)","9720","0","","0","","","","","1114000000","중구","1114016100","저동2가","","","","","0","0","",""
"NODE","POINT(126.99009529053073 37.563878901408856)","9721","0","","0","","","","","1114000000","중구","1114016100","저동2가","","","","","0","0","",""
"NODE","POINT(126.99028075211493 37.563729610613706)","9722","0","","0","","","","","1114000000","중구","1114016100","저동2가","","","","","0","1","",""
"NODE","POINT(126.99114605953898 37.56410099278663)","9723","0","","0","","","","","1114000000","중구","1114015900","초동","","","","","0","0","",""
"NODE","POINT(126.99069873308041 37.563868196279984)","9724","0","","0","","","","","1114000000","중구","1114016100","저동2가","","","","","0","0","",""
"NODE","POINT(127.0176465034834 37.561147751174666)","9302","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01747962692691 37.560561911834036)","9303","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01961605426507 37.56228255202214)","9304","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00186106306721 37.56954338393286)","10357","0","","0","","","","","1114000000","중구","1114015300","방산동","","","","","0","1","",""
"NODE","POINT(127.00025385561531 37.569126886119214)","10358","0","","0","","","","","1114000000","중구","1114015200","주교동","","","","","0","1","",""
"NODE","POINT(127.00232539560004 37.569434670593154)","10359","0","","0","","","","","1114000000","중구","1114015300","방산동","","","","","0","1","",""
"NODE","POINT(127.00908474452415 37.556570560329654)","8451","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00904163505864 37.556655239380504)","8452","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","1","",""
"NODE","POINT(127.0087052954547 37.556607205452956)","8453","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00878289268165 37.55645157942188)","8454","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01043673856722 37.55279093415046)","8498","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01096857462423 37.55315476300405)","8499","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.0113048929034 37.5531547312828)","8500","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01158638707254 37.55180904532099)","8501","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00243266017115 37.55242172235293)","9767","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.00251603983862 37.553003008516924)","9768","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.00316242156951 37.55281473609434)","9769","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.00348618090777 37.55287711443419)","9770","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.00254767364783 37.55312819398028)","9771","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.00280928313538 37.55389255866014)","9772","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.00404531436689 37.553476009465946)","9773","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.00223433688959 37.55296868615897)","9774","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","1","",""
"NODE","POINT(127.00625612198304 37.55692432251715)","9775","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.00627910052968 37.55679199777365)","9776","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"LINK","","0","","LINESTRING(126.99268914513722 37.55711592659268,126.99264313155948 37.55730816053437,126.99259713698945 37.557305869126246)","231615","1000","15317","15318","25.7920","1114000000","중구","1114014200","예장동","0","0","0","0","0","0","1","0"
"NODE","POINT(127.01059060077623 37.56348637926483)","8312","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01064525146009 37.56367861094129)","8313","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
